epoch,train,val
0,22.3938311721553,22.00936830305284
1,21.49728244359559,21.2535145930321
2,20.699275101234203,20.362233541319448
3,20.06563669147692,19.909113241011095
4,19.478154742200058,19.364247106659796
5,19.074969940763136,19.04819438157543
6,18.659383333279,18.6316767684875
7,18.30187311729892,18.319897730042857
8,17.99533168238672,17.94841314884924
9,17.702211429406866,17.844156372316423
10,17.466825273011302,17.490108014152895
11,17.205642415039556,17.37713529102264
12,17.001813514197604,17.134006613223782
13,16.82584526955909,17.04061472646652
14,16.637593596032264,16.836345042259463
15,16.477321294916607,16.62663256414475
16,16.31940553824396,16.525537280344196
17,16.18125528361324,16.197265388119607
18,16.022676220317095,16.208547278219655
19,15.898209434519055,16.011569354841786
20,15.761443450537522,15.925473815933351
21,15.67148285830793,15.855906789764282
22,15.555751751305673,15.787058046940833
23,15.432265237533816,15.591961948563975
24,15.373430314438805,15.44803123481812
25,15.247736213949908,15.35921274354381
26,15.129277178514291,15.284786049012213
27,15.085315601221193,15.281970068485506
28,14.987273734456746,15.161834279644875
29,14.860738348539481,15.069857041835785
30,14.777056245461885,14.988778632917713
31,14.727082575207115,14.970618969317407
32,14.620621080913898,14.859465430936504
33,14.569803876502478,14.788228403060666
34,14.468696622890295,14.634904692711368
35,14.42769980157016,14.629786616063887
36,14.351147536069448,14.558093896527444
37,14.271548621000958,14.452399259690315
38,14.167864224725337,14.4303911272172
39,14.12722927060647,14.32039512257422
40,14.054272919460677,14.249303609555769
41,13.971104971538418,14.165283438774848
42,13.93610207280055,14.147253537331858
43,13.87157203510818,14.104588651810923
44,13.83206172869325,14.161217648598456
45,13.758773210887131,14.03721416542607
46,13.698074340820312,13.94617306470871
47,13.630040278509652,13.936959961998848
48,13.545404198677728,13.793983223745899
49,13.528759636099707,13.744462467931932
50,13.474924069389509,13.615831757514707
51,13.397597571221738,13.675078617757368
52,13.362026166050365,13.680581936682424
53,13.294088884329591,13.586083507460932
54,13.24788973075701,13.623701130882386
55,13.206132790842716,13.45840861674278
56,13.157332804621515,13.346117286759037
57,13.093571373796054,13.352102035707043
58,13.054125586031006,13.302058601687031
59,13.024106614113792,13.255329179379249
60,12.959145238092448,13.143055831924562
