epoch,train,val
0,17.27182725683125,17.06362176741323
1,16.068846584300854,16.18926177232496
2,15.174401374023962,15.522015131750415
3,14.456538123603528,14.98048831570533
4,13.860759675529426,14.52356459894488
5,13.351156969631253,14.12806724040739
6,12.905296147518095,13.798017295791258
7,12.511736994283408,13.504927001768543
8,12.163956016382942,13.244458167552947
9,11.847522127308904,13.002810870947377
10,11.566029553676177,12.791390039228624
11,11.307507588431248,12.606091427687675
12,11.072341558066379,12.429193397645026
13,10.85540223616942,12.263172018489529
14,10.657529238620453,12.119277467535387
15,10.471622206898923,11.979422090245832
16,10.302673714593897,11.85710101808271
17,10.141958903251599,11.74506738524283
18,9.993447778718894,11.627870452980842
19,9.857762787232708,11.528172430261488
20,9.726237212096926,11.439400465373069
21,9.6041766691377,11.345872252025913
22,9.490807864837315,11.263739857096825
23,9.381449555317474,11.1869118747019
24,9.27847926932395,11.116415668379876
25,9.182427522652992,11.040340514606045
26,9.090407668814063,10.963478537836384
27,9.004105371148507,10.912717993451704
28,8.91971344763197,10.849077637772407
29,8.844517914329547,10.79274071147365
30,8.767292673969896,10.739365289941912
31,8.698781665236806,10.69157547654644
32,8.632058021645692,10.643749092625033
33,8.565298421482888,10.601322476633134
34,8.503032458748413,10.552388373920994
35,8.442102317358676,10.494471283151258
36,8.388150094656975,10.47336140771066
37,8.333461497239371,10.430496402825078
38,8.284579860738079,10.385437062671109
39,8.228278111972338,10.349256800797678
40,8.185332030149398,10.316300321971216
41,8.132902365108029,10.28795114451839
42,8.091118612025364,10.256286083690581
43,8.046533732573282,10.2263481472
44,8.003637995294536,10.186288560667345
45,7.965812123709012,10.173277733287504
46,7.921610569315075,10.144538270158153
47,7.8847709622334365,10.122447050848315
48,7.84996476957494,10.100248995211816
49,7.81053036109356,10.062479527035068
50,7.78018091878345,10.045607960185697
51,7.74553856186382,10.018371484125815
52,7.71151614401622,10.00161432404672
53,7.680915176365678,9.989384438491637
54,7.648171959959133,9.964290361519783
55,7.618502486441758,9.949795635515644
56,7.588048306866192,9.923194605996532
57,7.562470233172853,9.90896029164714
58,7.536813398902809,9.887177448580342
59,7.510746735779774,9.872342146711965
60,7.477169211847175,9.854582803556996
61,7.455260907963049,9.840429670272336
62,7.427958180256236,9.824826030615837
63,7.404244082414114,9.800791124066999
64,7.380533677100254,9.791538913326878
65,7.357909952161251,9.775924201434657
66,7.334905041400759,9.76517748009774
67,7.307884954211644,9.745827011562163
68,7.289268140277509,9.725756837398775
69,7.265975096226378,9.719134166163784
70,7.243025186076,9.710459478516732
71,7.2235561146977325,9.689950928418867
72,7.2014019314548,9.673204486331633
73,7.182048475840761,9.678550653688369
74,7.164769138303096,9.658745686238811
75,7.140538989724795,9.646377811970249
76,7.119769163200786,9.629702793359757
77,7.100062525583974,9.62541069842154
78,7.0824207860643025,9.62051515598451
79,7.063704178360357,9.601979481712466
80,7.047044214699643,9.59446385133651
81,7.026480393993713,9.58020166966223
82,7.0079427198775175,9.576867873860943
83,6.991142196373302,9.56506193430193
84,6.973029280230454,9.552023865599786
85,6.956471689248176,9.548971058668629
86,6.938791494519305,9.540918778257986
87,6.924260875463934,9.5201089443699
88,6.90361220585579,9.508400823031701
89,6.886177512097226,9.503678851127624
90,6.8693817433492,9.497021015728674
91,6.853793394732222,9.4810865705244
92,6.835284541585628,9.477191606683116
93,6.8215678372698205,9.479076909557467
94,6.808212417905432,9.454375421885521
95,6.79017258929743,9.445467734836763
96,6.770563445898933,9.44268212072311
97,6.756255041173999,9.435174723555965
98,6.743577052738865,9.424155294126079
99,6.725772781431194,9.427467753694904
